id,name,genres,overview
154,Dying Inside,fantasy," The novel's main character, David Selig, is an undistinguished man living in New York City. David was born with a telepathic gift allowing him to read minds. Rather than use his ability for any greater good, however, Selig squanders his power, using it only for his own convenience. At the beginning of the novel, David earns a living by reading the minds of college students so that he can better plagiarize reports and essays on their behalf. As the novel progresses, Selig's power becomes continually weaker, working sporadically and sometimes not at all, and Selig struggles to maintain his grip on reality as he begins to lose an ability on which he has long since grown dependent. The book contains a number of memorable elements, such as David's relationship with a fellow telepath he meets as a young adult, or his strained interaction with his estranged younger sister (who has long distrusted him because of his ability), or his obsession, during one section of the novel, with proving that his girlfriend, a woman named Kitty, is also telepathic after he discovers that he can't read her mind. There's also an interesting moment where David's power causes him to vicariously experience his girlfriend's acid trip, and a bravura sequence in which the adolescent Selig, during a visit to a farm, enters the minds of, variously, a fish swimming in a stream, a hen laying an egg, and a young couple in the midst of passionate sex."
155,Mila 18,fantasy," As in many other books by Uris, the story is largely told from the standpoint of a newspaperman; in this case, an American-Italian journalist, Christopher de Monti, who is assigned to Warsaw after covering the Spanish civil war. Although meant to be a dispassionate and neutral observer, he meets and becomes intimate with both the Nazi hierarchy and the Jews of Warsaw. He has a passionate affair with the wife of one of the Jewish community leaders, while also dealing with prostitutes provided by the Nazis. As the ghetto is surrounded and reduced to rubble, he throws in his lot with the gallant defenders. He is one of the few survivors and manages to escape with a young woman, Gabriela Rak, who is pregnant with the child of one of the defenders, Andrei Androfski, a former Polish army officer. *Andrei Androfski is a Polish army Ulany Brigade officer, and a Jew. He is hot-headed and several other characters comment that he is best at leading cavalry charges - i.e. hopelessly fighting until the end. He remains in the ghetto after the fall of the bunker at Mila 18 and is presumed dead afterwards. *Gabriela Rak is Andrei Androfski's girlfriend, although they decide not to marry due to Andrei's Jewish descent. She worked at the American Embassy in Warsaw before the war and at the end of the book was carrying Andrei's child. *Christopher de Monti is a journalist of whose father is Italian and mother is American. While opposed to fascism and being determined to bring out the truth to the world, he does not aid the fighters on the ghetto until he is compelled to enter the ghetto by the Nazi propaganda officer in Poland. He is the only person to know the location of all the ghetto's diaries. *Alexander Brandel is one of the leaders of the uprising and the father of Wolf Brandel. He started a diary which was later expanded to 24 volumes by members of the ghetto. *Wolf Brandel is the son of Alexander and one of the leaders of the uprising. He escapes the ghetto with a handful of survivors including his girlfriend Rachael Bronski. At the end of the book Christopher de Monti writes that Rachael and Wolf are off fighting in another Jewish resistance group. *Rachael Bronski is the daughter of Paul and Deborah Bronski and the girlfriend of Wolf Brandel. Along with being a talented musician and an excellent soldier she assists Wolf with the command of his part of the army. When the uprising comes to an end Rachael and Wolf escape with a few others out of the sewers and to safety. *Deborah Bronski is Christopher de Monti's lover and the wife of Paul Bronski. She is also the sister of Andrei Androfski. While Deborah does not feel any love for Paul, especially after he opposes the resistance in the ghetto, she refuses to leave him until he dies. Deborah has two children - Rachael and Stephan Bronski. *Paul Bronski is the husband of Deborah Bronski and, although a Jew, does not wish to be associated with other Jews in any way. He works at the Jewish Council and believes in cooperating with the Germans and opposing the Jewish resistance. He commits suicide eventually after not being able to cope with the pressure from both sides. Loosely based on Adam Czerniaków. *Franz Koenig is an ethnic German living in Poland who receives higher and higher status after the Nazi invasion. As the war progresses, Koenig becomes more and more corrupted. He succeeds Paul Bronski in leading the Warsaw Medical Institute."
156,The Bastard Prince,fantasy," The events of The Bastard Prince span a period of approximately six months, from late May to late December of 928. The novel begins after the invasion of Prince Marek Furstán-Festil, the bastard child of the last Deryni ruler of Gwynedd, King Imre, and his sister, Princess Ariella. Supported by his Torenthi relatives, Marek has occupied the town of Culliecairn and slain Earl Hrorik II of Eastmarch. Word of the invasion is quickly sent to Rhemuth, where King Rhys Michael Haldane has spent the first six years of his reign as an imprisoned puppet of his lords of state. When a Torenthi herald arrives at Rhemuth to challenge the king, the great lords realize that they must permit Rhys Michael to go to Eastmarch and personally respond to the invasion. Disguised as one of Queen Michaela's serving maids, Rhysel Thuryn quickly learns of the king's plans to accompany his army to Eastmarch. Rhysel meets with members of the Camberian Council and attempts to convince them to activate the king's Haldane potential before he leaves the following day. Despite his own objections, Father Joram MacRorie, Rhysel's uncle, eventually agrees to her plan. That night, Joram and Tieg Thuryn, Rhysel's brother, infiltrate the castle and meet with the king. Tieg unblocks the Deryni powers of both Michaela and her brother, Sir Cathan Drummond, and Michaela then assists Tieg, Rhysel, and Joram in activating Rhys Michael's arcane powers. After the ritual, Joram and Tieg capture Master Dimitri, a Torenthi Deryni collaborator who has been working for the great lords. The Camberian Council alters Dimitri's mind with their own set of commands before returning him to Rhemuth. The next day, Rhys Michael departs the capital with army, accompanied by Cathan, Earl Manfred MacInnis, Earl Rhun von Horthy, Lord Albertus, and Father Paulin Sinclair. Before departing the city, Constable Udaut is killed when Dimitri secretly uses his powers to spook Udaut's horse. Later on the journey, a swarm of bees mysteriously attacks the royal party and nearly kills Albertus. Several days later, Albertus questions Rhys Michael about the incidents, concerned about the rumored magical powers of the Haldane family. He orders Dimitri to probe the king's mind, but the Deryni is still under the compulsions of the Camberian Council. To protect the king, Dimitri kills Albertus and later allows himself to be implicated in the death. When Paulin attempts to confine Dimitri, he lashes out with his powers and destroys Paulin's mind before be overcome. Dimitri is tortured for several hours before he is killed by a mental death-trigger in his own mind. The royal army arrives at Lochalyn the next day, where it is joined by the levies of Duke Graham of Claibourne, Earl Sighere of Marley, and Earl Corban Howell of Eastmarch. In a private conversation, Lady Sudrey, Hrorik's Deryni widow, offers Rhys Michael her support and the use of her limited powers. The following morning, Rhys Michael agrees to meet with Prince Miklos of Torenth, who claims to have led the invasion on Marek's behalf. Accompanied by Sudrey, the king parleys with Miklos briefly, but Miklos breaks the peace by attacking Sudrey. Rhys Michael uses his own powers to protect himself and kill Miklos, but Sudrey is killed in the battle and Rhys Michael is wounded when a horse steps on his hand. Afterwards, the king claims that it was Sudrey who used magic in the battle, and later realizes that Miklos' companion was actually Marek himself. After Miklos' death, Marek withdraws his forces and returns to Torenth. Rhys Michael asks the northern lords to help him break free of the great lords, and Graham and Sighere agree to become Regents for the king's son, Prince Owain, if anything should happen to the king. Cathan prepares a codicil to the king's will, and all parties involved succeed in signing it without alerting Rhun or Manfred. The king departs for Rhemuth the next day, but the progress of the army is slowed by the worsening condition of his injury. The army is eventually forced to stop at Saint Ostrythe's Convent when the king becomes too ill to continue. Dom Queron Kinevan rushes to the king's side, but he does not arrive in time and Rhys Michael soon dies from poor medical treatment. As the army returns to Rhemuth with Rhys Michael's body, the Camberian Council informs the northern lords of the king's death and offers their assistance in securing the rights of the new Regents. In Rhemuth, Cathan is drugged and imprisoned, but Michaela and Rhysel succeed in activating Owain's Haldane potential. Over the next several days, the northern lords ride toward Rhemuth, eventually arriving on the morning of Rhys Michael's funeral. Accompanied by Queron, Tieg, Ansel MacRorie, and a band of armed men, Graham and Sighere confront the great lords inside the royal tomb. Rhun kills Manfred and flees with Owain, while Earl Tammaron takes Michaela hostage. As Cathan pursues Rhun, Michaela uses her powers to slay Tammaron. Cathan catches Rhun atop a tower and the two engage in a brief fight before Rhun is killed. Several months later, Michaela visits her husband's tomb in the royal crypt. Owain has been crowned as King of Gwynedd, and Cathan now serves on the Regency Council with her, Graham, and Sighere. Of the former Regents, only former Archbishop Hubert MacInnis remains alive, but he has been stripped of his office and imprisoned for his crimes. Although he did not live long enough to see it, Rhys Michael's actions succeeded in freeing the crown of Gwynedd for his heirs."
157,"Tarzan, Lord of the Jungle",fantasy," Tarzan finds an outpost of European knights and crusaders from a ""forbidden valley"" hidden in the mountains. His lion ally Jad-bal-ja puts in an appearance late in the book."
158,Sir Thursday,fantasy," The book begins with Arthur Penhaligon and Leaf attempting to return to Earth after their adventures in the Border Sea. While Leaf is able to pass through the front door and return to Earth, the presence of a Nithling duplicate of Arthur prevents him from doing so, and he is forced to remain in the Lower House. Dame Primus then informs him that Mister Monday and Grim Tuesday have been assassinated. Moments later, he is drafted into the Glorious Army of the Architect – wherein everyone living in the House must serve for 100 years – which is based in the chessboard-like demesne called the Great Maze. The leader of the army is the Fourth Trustee of the Will, Sir Thursday, a Denizen afflicted with the deadly sin of wrath. The army is currently involved in a campaign against the Piper, who is trying to claim the Fourth Key. Within the army, Arthur is soon mistaken for a Piper's child and has his memory wiped, along with his friend Fred Initials Numbers Gold – a real Piper's child. One month later and during the first battle against the Piper's New Nithling army, Arthur begins to recall his identity. The entirety of it is recovered later in the book when an officer mentions his name and title. On Earth, Arthur's double, known as the Skinless Boy, has thrown a hospital near Arthur's home into panic by infecting staff and patients with a fungoid, extraterrestrial life-form which allows him to read and eventually control their thoughts and actions. This fungus, nicknamed Grayspot, is mistaken for a biological weapon, and the hospital put under quarantine. Leaf infiltrates the hospital, seeking to obtain and destroy the magical object used to create the Skinless Boy: a pocket torn from one of Arthur's shirts. She succeeds, but is infected by Grayspot in the process. She then leaves the hospital, only to find that the House has appeared above it and cannot be reached from the ground. With the help of a retired pharmacist named Sylvie, Leaf makes her way to Arthur's house where she uses a special telephone to contact Arthur's friends and get help, just as the fungus gains full control of her body. Suzy Turquoise Blue arrives and takes the pocket to the House. There, she finds Arthur and Fred, and joins them in a raid led by Sir Thursday to find and destroy the New Nithlings' weapon, which is preventing the mechanical floor of the Great Maze from shifting. Arthur destroys the weapon by throwing the pocket into it, simultaneously destroying the Skinless Boy. As Arthur escapes from the Piper with Sir Thursday, he distracts Thursday enough for the fourth part of the Will, a snake embodying the virtue of justice, to break free, whereupon it makes Arthur the Bearer of the Fourth Key – a sword or baton depending on whether or not the wielder is in combat – and Commander of the Glorious Army of the Architect. With help from Dame Primus and others from the lower demesnes, Arthur defeats the New Nithling army. On Earth, Leaf wakes up in a hospital a week after the Skinless Boy was defeated. She soon learns from a nurse that the Grayspot has disappeared and that Lady Friday, another Trustee, has become a doctor on Earth."
159,The Hallowed Hunt,fantasy," The principal characters are: Ingrey, who received a wolf spirit in childhood and spends most of the story discovering how, why and to what effect; Ijada, who receives a leopard spirit in a bungled rite; and Wencel, who has extended his life for centuries by taking over the bodies of others, mainly his own descendants, for a purpose that is finally revealed. Ingrey is sent by his lord to take custody of Ijada, who has killed an heir to the kingdom, and bring her to the capital. During their journey, Ingrey learns of the circumstances of the death and does his best to protect Ijada. They become entangled in Wencel's grand plan, which is finally nearing fruition. In the end, Ijada and Ingrey together defeat him and marry at the plot's resolution."
160,The Indwelling,fantasy," People flee from the scene of the assassination in a panic. Buck Williams notices that the gunshot sounded similar to the sound of the gun Nicolae used to kill Eli and Moishe. Rayford Steele is still wondering whether he really was the one that scripture singled out to deliver the killing blow to the Antichrist Nicolae Carpathia. In fact, it was Chaim Rosenzweig who stabbed Nicolae through the back of the head with a knife that he created- the thinnest, sharpest knife ever. Leah Rose attempts to free Hattie Durham from BFFR, meeting fellow believer and GC mole Ming Toy. Hattie is eventually let go from BFFR and tracked by the GC, who expect her to lead them to the Tribulation Force safe house. She does not go to the safe house, as the GC wants her to, but goes AWOL. Buck Williams is frantically searching for Chaim, believing that he has had a stroke, or worse, a heart attack. He returns to Chaim's manor to find several of Chaim's friends murdered by GC. Rayford escapes to Greece, worried that the GC may be pursuing him. After being filled with rage for the past several months, resulting in his attempted killing of Carpathia, Rayford is guilty over his selfishness and vows never to allow his emotions to rule him again. Meanwhile, Buck and Chaim make an escape from Israel, ending in a plane crash that results in Chaim's acceptance of Christ, as well as the death of T. M. Delanty. At the safe house, Tsion Ben-Judah experiences a series of dreams imparted unto him by God Himself. He witnesses a brief glimpse of the cosmic war in heaven that is slowly spilling into the Earth. He also receives a glimpse of the future, God's deliverance of His people- the Jews- into a safe haven, an act in which the Tribulation Force will soon play a vital role. He awakens to find that the safe house has been compromised. Rayford Steele, with the aid of new believer Al B, helps Tsion and toddler Kenny Bruce Williams escape the GC. As the world mourns the death of their leader and a funeral service is set for three days later after the assassination, a great statue of Nicolae is erected. Millions gather to view Carpathia's body, encased by bulletproof glass. Suddenly, the statue comes to life in the midst of black billowing smoke and speaks, demanding worship. Leon Fortunato, who is here revealed as the False Prophet, calls down lightning and fire from heaven to kill those who do not worship the image. David and his new fiancée Annie Christopher (who works in the palace and is also a believer) are stationed in different areas as they watch the resulting chaos. In full view of the crowd, Carpathia is resurrected, possessed by Satan on the first day of the Great Tribulation. David is frantic because Annie is missing. The Antichrist speaks to the people of the world, declaring that if anyone is able to doubt that he is God after seeing this, and if there are still people who think that they have already been enduring Tribulation, then they should prepare for the Great Tribulation."
161,A Bad Spell in Yurt,fantasy," This story takes place in the tiny kingdom of Yurt. It reads like a charming, light-hearted story at first, but darker forces soon reveal themselves. Amongst themselves, the characters refer to the ""three that rule the world"", the aristocracy, the church, and wizardry. Though the aristocracy do the actual ruling, organized wizardry generally considers itself to be the superior of the three, in part because they put an end to the ""Black Wars,"" wars between kingdoms so violent and bloody that individual wizards were forced to band together to stop them. Churchmen considers themselves superior to wizards, and they are traditional rivals in this semi-medieval world. The first-person narrator is Daimbert, who has just barely graduated from the wizard's school. He takes up his first post as Royal Wizard of Yurt. Daimbert barely graduated, owing to all that embarrassment with the frogs, yet he has amazing improvisational skills that manage to get him by. Daimbert soon befriends Joachim, the castle chaplain, attempts to make magical telephones from scratch, learns old herbal magic from his predecessor, fights a dragon from the northern land of wild magic, searches for the source of an evil spell on the king, and is forced to bargain with a demon. Here, magic is a wild force of four dimensions that is shaped by a wizard's spells or potions, and (usually) is spoken aloud using the Hidden Language, needed to channel magic for the means of a spell. However, wizards can also choose to sell their soul to a demon in return for supernatural powers. The book reads somewhat like a mystery, where Daimbert follows up on many clues throughout the story, eventually suspecting everyone in the castle. The caster of the evil spell is not revealed until the end of the book."
162,Wolf-Speaker,fantasy," Daine receives a summons from some old friends - the wolf pack from her old village, led by Brokefang and his mate Frostfur, who are unhappy with the nobles ruining the Long Lake, their territory. They send messengers to ask Daine for help and then disappear back into the night to hunt while Daine discusses this over with her teacher, Numair Salmalin. Numair agrees to help the wolves, but he decides that he first must visit the nobles in Fief Dunlath at a party to further investigate after they find the burnt remains of the Ninth Rider Group. Numair recognizes a battle mage at Fief Dunlath, who appears to be wooing Lady Yolane. After Daine boldly approaches them about the threat to the wolves and to the area with a warning that if they don't change, things will happen, the nobles all laugh at her. She retires with Numair back to their quarters and stealthily leave in the night from Fief Dunlath. Tristan Staghorn, the mage in Dunlath is a war mage from the Carthaki university where Numair studied to become one of the 7 most powerful mages in the world. Upon discovering Tristan was there, Numair realized that the situation in Dunlath was worse than they had thought. He creates a magical simulacra (clone) of himself and plays on Tristan's knowledge of him back in Carthak, where he was a ""book-bound idiot."" He explains to Daine that people who are Black robe mages study books and learn nothing practical. Daine seems to think he relies too much on the enemy mage's stupidity. Shortly after this, Numair decides to go back to the city where King Jonathan is and warns him of something afoot in Dunlath. Daine stays to sort out the mess with her friend Brokefang and Numair tells her not to do anything extreme or he will lock her in the deepest dankest dungeon he can find when he gets his hands on her again. Throughout the book, Daine reaches the next level in the development of her wild magic as she starts to share minds with animals, a useful ability as she uses the eyes of squirrels and other creatures to spy. This ability soon translates to gaining certain characteristics of animals once she returns to her natural body. Daine discovers she has the power to morph into animals after Maura, Lady Yolane's somewhat plain and much younger sister, runs away from Fief Dunlath. Shortly afterwards, Rikash Moonsword the Stormwing appears to be fond of Maura and he makes Daine rethink her theory about all Stormwings being naturally evil. Maura tells Daine about Yolane's plans to become Queen - a deal with Emperor Ozorne of Carthak, who is also hinted at causing the siege at Pirate's Swoop in the first book. In the meantime, Daine meets a basilisk named Tkaa, who comes to be an important ally and a partial tutor to Kitten, her dragonet; Tristan creates a magical barrier to isolate fief Dunlath from help. In the Tortallan universe, basilisks resemble elegantly featured lizards that have the ability to stand on their hindlegs. They eat rocks and have a curious screech that turns anything in their direct path into stone. Daine learns that Tristan and his mage friends Alamid and Gissa are going to dump a poison called bloodrain into the river at the north of Dunlath to kill everything living within ten miles of the river. Tristan tries to hurt Daine with his magic, and Numair turns him(Tristan)into an apple tree with a word of power, also causing a tree somewhere in the world to turn into a human. With the help of Maura, Tkaa, Kitten (Skysong the Dragonet), the Stormwing Lord Rikash,Huntsman Tait, Alanna the Lioness, Raoul of Goldenlake, and the animals of the Long lake of Dunlath Numair and Daine manage to rip the entire plot to pieces in the biggest siege Daine has foiled yet."
163,Flint the King,fantasy," Flint The King is set in the five years before Dragons of Autumn Twilight where the Heroes of the Lance split up and look for signs of gods returning and a new evil stirring in the world. Flint Fireforge returns to his sleepy boyhood village in the foothills near Solace to discover that everything has changed. The village is now prosperous and producing weapons for an unknown buyer. When Flint starts poking around he is discovered and pushed into the ""Beast Pit"" and expected to die. He is rescued by a group of Gully Dwarves who make him their king. Flint struggles to bring the gully dwarves together and form a fighting force so that he can escape and use them to foil the enemies' plans."
164,The Skies of Pern,fantasy," A rogue comet that strikes Pern leads the Weyrleaders and Holders, contemplating a future where dragonriders are not needed in a Threadless world, to consider the creation of a new Star Craft made of dragonriders. The discovery by dragonriders F'lessan and Tai, after a brutal attack by large felines, of the draconic use of telekinesis, only strengthens their resolve to keep Pern's skies free of danger. At the same time, disgruntled citizens resisting the ever-growing role of technology in Pernese life band together as Abominators, attacking Crafthalls, and are determined to destroy all the new technology in use. These fanatics are seemingly allied with Southern Lord Holder Toric. The Abominators' leader, Shankolin, is killed at the end of the book when he enters the chamber formerly housing AIVAS, the computer that introduced advanced technology to the Pernese. This implies that although AIVAS is disabled, his defense systems remain active."
165,Cube Route,fantasy," In the magical land of Xanth, wishes are far more than mere words. So when a Plain Jane called Cube whispers a wistful wish to be beautiful, she finds herself leading a company of colorful companions on a search for the mysterious Cube Route--a perilous path that leads to danger, adventure, and perhaps her heart's desire as well. This curious quest takes them all over Xanth, into the mythical realm of Phaze, and even to our own world, where Cube rescues a beautiful human woman from a very ugly situation, ending at last in a mysterious Counter-Xanth where things can be transformed into their opposites in the wink of an eye."
166,Warrior's Refuge,fantasy," The book opens with a short summary of the past events of the previous book, The Lost Warrior. Coming to the current time, Graystripe and his traveling companion, Millie, can see Highstones in the distance. As they are traveling through a corn field, a combine pursues them. Graystripe and Millie are separated as they flee from the monster. Graystripe manages to get to a nearby barn, and asks for help from the cats inhabiting the barn. The barn cats agree to help Graystripe find Millie. They find Millie and learn the hard corn leaves cut and damaged Millie's eyes. Graystripe and Millie are allowed to stay until she recovers. Husker, one of the barn cats explains to the two cats that they used to live in the nearby Twoleg nest (human house). Unfortunately, the Twolegs (humans) died, and a new family moved in. The new residents disliked the cats, so they were chased out. They had lived in the barn ever since. Graystripe and Millie face the pet dogs of the family after they wander into the barn. Millie can speak dog and is able to send the dogs away. The barn cats are amazed by Millie's ability and she teaches them how to speak dog. A few days later, Millie and Graystripe see a Twoleg kit in pursuit of a frog. She approaches dangerously close to the edge of a pond, almost falling into it. Graystripe manages to catch the child's attention and lead her away. The Twoleg's parents are very grateful to the cats. Over time, the Twolegs accept the barn cats as well and even adopt them as their kittypets through a plan of Graystripe's. The two travelers continue their route towards home. However, when they arrive at the forest, they find the territory is destroyed and ThunderClan is gone."
167,Dragonsbane,fantasy," A witch, Jenny Waynest, and lord, John Aversin, who live in the Northlands are approached by a young southern noble, Gareth, who requests they slay a dragon in the capital city of Bel to the south. The pair agree on the condition the king send troops to the north to fend off bandits. On arriving, it is revealed that Gareth is not a mere noble, but the prince of the realm seeking aid against the wishes of his father. The dragon is revealed as Morkeleb the Black, an ancient and powerful dragon, inhabiting the caverns of the gnomes. In addition, the sorceress Zyerne is revealed to hold the king in her power, dominating him with the goal of capturing the power of the Stone in the heart of the gnomish Deep. John is persuaded to kill Morkeleb, with Jenny's assistance, but is himself wounded and Jenny is forced to save the dragon's life in exchange for that of John's. In saving Morkeleb's life, Jenny's weak powers are much augmented, allowing her to confront Zyerne but also tempting her to transform into a dragon and abandon the concerns of humanity. Zyrene enters the Deep, attempting to claim its magic, but is defeated when the Stone is destroyed by John, Jenny and Morkeleb. Jenny accepts Morkeleb's offer to transform into a dragon, but later returns to the North, unable to live without her humanity."
168,The Inheritance,fantasy," The book begins with Elansa Sungold going to the border to heal a group of trees with her Blue Phoenix, a magical artifact passed down since the Age of Dreams to woodshapers in her family. The Blue Phoenix is a symbol of Habbakuk, and the artifact may be a holy artifact of Habbakuk. She is guarded by twenty elves. When they reach further into the forest, they are ambushed by goblins, which were hired by human brigands. Elansa is taken for ransom, and one of the guards who were sent to take care of her by her husband, Prince Kethrenan, is mutilated and sent back to Qualinost, the elve's homeland, to inform them of the ransom demand, two cartloads full of the best weapons that the elves have. Elansa is taken to one of the bandits secret hideouts, and is guarded by Char, the dwarf. Brand, the leader of the bandits, also takes Elansa's Blue Phoenix from her. In the hands of a human, it didn't pulse with magic at all, so humans would think it's just a pretty shaped gem. Brand means raven in an ancient dialect. Brand kills the son of Gnash, a hobgoblin, who was sent to assist the ambush, making him an enemy of the goblins. They run from the goblins into many different secret hideouts, then hole up in one for the winter. In the sprain, Brand's demand for two wagons full of weapons has been acknowledged. Prince Kethrenan, and his cousin, a female warrior, drive the wagons, while other warriors hide in the woods. Their plan is to slaughter the bandits when they come to take the weapons, however, their plans are foiled when goblins, this time enemies of both, appear. Brand and his band get away with Elansa and the two wagons, leaving the elves to ""mop up"" the goblins. Brand stores the weapons in caches all over the stone lands, so that they won't be discovered. A goblin ""turncoat"" decides to help the elves, and with his help the locate all of the weapon caches. The weapons that can't be recovered due to transportation issues are destroyed. By plotting the caches on a map, the elves discover an arrow pointing to Pax Tharkas, perhaps the last safe house for the brigands, so the elves head to Pax Tharkas. Brand and his band know that they are being hunted, but not by whom, so they decide to go to the abandoned Pax Tharkas as a safe haven. During this time, Char becomes almost a friend of Elansa's. Many of the men in the group of bandits want Elansa, so Brand gives her a choice between him and them. He was just doing this to protect her, but she didn't know that. Elansa chooses Brand. The goblins amass an army and also head to Pax Tharkas, following Brand. Brand and his followers arrive in Pax Tharkas, and a couple of goblins manage to rouse the undead guarding Kith-Kanan. While Elansa is trying to help the Bandits to destroy the undead, one of the bandits try to rape her, but Char saves her. Elansa uses her Blue Phoenix to destroy the undead, but she faints from the strain afterwards. The elves and goblins fight outside Pax Tharkas, and the elves destroy the goblins. Prince Kethrenan's cousin is killed. Prince Kethrenan comes in to rescue Elansa, but Elansa wants him to spare Brand. He refuses, kills Brand, and at the same time Leyerlain Starwing kills Kethrenan by throwing a dagger into his neck. At this point, Elansa realizes that she grew to love Brand. Elansa runs away with Char, before the elves come to investigate. She's pregnant with Brand's child, and Char convinces her to claim that she was raped to protect herself and the child, even though Brand grew, almost, to be her lover. She returns to Qualinesti. The child is known as Tanis Half-Elven."
169,The Secret World of Og,fantasy," In this fantasy adventure, four children — Penny, the leader; Pamela, her common-sense sister; Peter, whose life’s ambition is to become a garbageman; and Patsy, who collects frogs in her pockets — set out in search of their baby brother, Paul, better known as “The Pollywog,” who has vanished mysteriously from their playhouse. Accompanied by their fearless pets, the children descend through a secret trapdoor into a strange underground world of mushrooms, whose green inhabitants know only one word: “OG!”"
170,Kai Lung's Golden Hours,fantasy," As with other Kai Lung novels, the main plot serves primarily as a vehicle for the presentation of the gem-like, aphorism-laden stories told by the protagonist Kai Lung, an itinerant story-teller of ancient China. In Kai Lung's Golden Hours he is brought before the court of the Mandarin Shan Tien on charges of treason by the Mandarin's confidential agent Ming-shu. In a unique defense, Kai Lung recites his beguiling tales to the Mandarin, successfully postponing his conviction time after time until he is finally set free. In the process he attains the love and hand of the maiden Hwa-Mei."
171,Jurassic Park Adventures: Flyers,fantasy," The story is unusual in that it is told partially from the animal's point of view. The Pteranodons that escaped Sorna have been spotted all around the world and now they are in Florida. Coincidentally, Alan Grant and Eric Kirby are invited to go to the Universal Studios in Orlando to talk about their adventures on the islands. Unfortunately, the Pteranodons are attracted by the lakes in the park and decide to stay there, wreaking havoc and injuring people by flying off with them and throwing them to the water. With the help of Amanda Kirby and a reporter named Manly Wilks, Alan and Eric try to capture the Pteranodons to get them back to the island before they are culled by Florida's authorities. The Pteranodons manage to destroy some of the park's attractions and kill two helicopter pilots, before they are finally caught. Manly then tries to get one of them to become famous, but Amanda punches him out cold and all reptiles are returned to the island, by means of tricking them to follow an aircraft disguised as a Pteranodon."
172,A Swiftly Tilting Planet,fantasy," The book opens on Thanksgiving evening, about 10 years after the events of A Wind in the Door. Meg is now married to Calvin and is expecting their first child. Calvin has become a scientist and is in Britain at a conference. The Murry family is joined for Thanksgiving dinner by an unusual guest—Meg's very antisocial mother-in-law, Mrs. O'Keefe. When they receive the news of impending nuclear war caused by the dictator ""Mad Dog Branzillo"", Mrs. O'Keefe lays a charge on Charles Wallace &mdash; to prevent the disaster. She teaches him ""Patrick's Rune"", a rhyming prayer of protection that has been passed down to her from her Irish grandmother. Charles Wallace goes for a walk to the star-watching rock, a family haunt, and begins to recite Patrick's Rune. His recitation summons a flying unicorn from the heavens who introduces himself as Gaudior. The winged unicorn explains to Charles Wallace that he must prevent nuclear war by traveling through time and telepathically merging with people who lived in the locale of the star-watching rock at points in the past. By doing so he may change pivotal situations, ""might-have-beens"", in which things might have turned out better than they did. Though unsure how events in the distant past near his home can affect a South American dictator, Charles Wallace agrees. They are threatened along the way by the Echthroi, the antagonists introduced in A Wind in the Door. The Echthroi are evil beings whose goal is the total destruction of the universe. As Charles Wallace tries to make the might-have-beens turn out for good, the Echthroi are fighting to make them turn out for evil. Gaudior and Charles Wallace's travels bring them to: Harcels, a Native American boy at least 1,000 years in the past; Madoc Gywnedd of Wales, a pre-Columbian trans-oceanic traveler; Brandon Llawcae, a Welsh settler in puritan times; Matthew Maddox, a writer during the American Civil War who wrote a novel about the legend of Madoc Gwynedd; and Mrs. O'Keefe's brother Chuck Maddox, during their childhood. Meg connects with Charles Wallace from home through ""kything"", the telepathic communication she learned in A Wind in the Door. Eventually, a connection arises between the star-watching rock and Mad Dog Branzillo. In the 12th century, two Welsh princes named Madoc and Gwydyr travelled to North America to escape the in-fighting for their father's throne. But once there, Gwydyr turned against Madoc and tried to conquer their new home. Madoc defeated Gwydyr in combat, and Gwydyr left to South America. Both men married into the local Native American populations and became part of the local folklore. Many generations later in the 1860s, a descendant of Madoc marries a descendant of Gwydyr, and Mad Dog Branzillo is their descendant. However, thanks to Charles Wallace's changing of ""might-have-beens"" in the history of Branzillo's ancestors, things turn out differently. Distant descendants of Madoc marry, reuniting Madoc's line and resulting in a peaceful man being born instead, and the threat of nuclear war is dissolved."
